fen_index,config,fen,move,stockfish_best,best_eval_cp,played_eval_cp,cp_loss,classification
1,submitted_v1,2rqr1k1/pb1n1ppp/3b1n2/1Npp4/8/1P1BPN2/PBQ2PPP/3R1RK1 b - - 0 1,d6b8,d6b8,102,71,31,inaccuracy
1,search_only,2rqr1k1/pb1n1ppp/3b1n2/1Npp4/8/1P1BPN2/PBQ2PPP/3R1RK1 b - - 0 1,d6b8,d6b8,102,71,31,inaccuracy
1,blend_15,2rqr1k1/pb1n1ppp/3b1n2/1Npp4/8/1P1BPN2/PBQ2PPP/3R1RK1 b - - 0 1,d6b8,d6b8,102,71,31,inaccuracy
1,blend_25,2rqr1k1/pb1n1ppp/3b1n2/1Npp4/8/1P1BPN2/PBQ2PPP/3R1RK1 b - - 0 1,d6b8,d6b8,102,71,31,inaccuracy
1,blend_35,2rqr1k1/pb1n1ppp/3b1n2/1Npp4/8/1P1BPN2/PBQ2PPP/3R1RK1 b - - 0 1,d6b8,d6b8,102,71,31,inaccuracy
2,submitted_v1,rnb1k1nr/pp3ppp/1qp5/2bpp3/4P3/1PNB1P2/P1PP2PP/R1BQK1NR w KQkq - 0 1,c3a4,c3a4,83,85,0,ok
2,search_only,rnb1k1nr/pp3ppp/1qp5/2bpp3/4P3/1PNB1P2/P1PP2PP/R1BQK1NR w KQkq - 0 1,c3a4,c3a4,83,85,0,ok
2,blend_15,rnb1k1nr/pp3ppp/1qp5/2bpp3/4P3/1PNB1P2/P1PP2PP/R1BQK1NR w KQkq - 0 1,c3a4,c3a4,83,85,0,ok
2,blend_25,rnb1k1nr/pp3ppp/1qp5/2bpp3/4P3/1PNB1P2/P1PP2PP/R1BQK1NR w KQkq - 0 1,c3a4,c3a4,83,85,0,ok
2,blend_35,rnb1k1nr/pp3ppp/1qp5/2bpp3/4P3/1PNB1P2/P1PP2PP/R1BQK1NR w KQkq - 0 1,c3a4,c3a4,83,85,0,ok
3,submitted_v1,r1bqr1k1/ppp3p1/2n4p/2p1pp2/2P5/1P1BP3/PB1P1PPP/R2QK2R w KQ - 0 1,d1h5,d1e2,16,17,0,ok
3,search_only,r1bqr1k1/ppp3p1/2n4p/2p1pp2/2P5/1P1BP3/PB1P1PPP/R2QK2R w KQ - 0 1,d3e2,d1e2,16,3,13,ok
3,blend_15,r1bqr1k1/ppp3p1/2n4p/2p1pp2/2P5/1P1BP3/PB1P1PPP/R2QK2R w KQ - 0 1,d3e2,d1e2,16,3,13,ok
3,blend_25,r1bqr1k1/ppp3p1/2n4p/2p1pp2/2P5/1P1BP3/PB1P1PPP/R2QK2R w KQ - 0 1,d3e2,d1e2,16,3,13,ok
3,blend_35,r1bqr1k1/ppp3p1/2n4p/2p1pp2/2P5/1P1BP3/PB1P1PPP/R2QK2R w KQ - 0 1,d3e2,d1e2,16,3,13,ok
4,submitted_v1,r3k2r/pbp1qppp/1p2pn2/3p4/1QPP4/2P1P1P1/P4PBP/R1B1K2R w KQkq - 0 1,c1a3,b4e7,54,-2,56,inaccuracy
4,search_only,r3k2r/pbp1qppp/1p2pn2/3p4/1QPP4/2P1P1P1/P4PBP/R1B1K2R w KQkq - 0 1,c1a3,b4e7,54,-2,56,inaccuracy
4,blend_15,r3k2r/pbp1qppp/1p2pn2/3p4/1QPP4/2P1P1P1/P4PBP/R1B1K2R w KQkq - 0 1,c1a3,b4e7,54,-2,56,inaccuracy
4,blend_25,r3k2r/pbp1qppp/1p2pn2/3p4/1QPP4/2P1P1P1/P4PBP/R1B1K2R w KQkq - 0 1,c1a3,b4e7,54,-2,56,inaccuracy
4,blend_35,r3k2r/pbp1qppp/1p2pn2/3p4/1QPP4/2P1P1P1/P4PBP/R1B1K2R w KQkq - 0 1,c1a3,b4e7,54,-2,56,inaccuracy
5,submitted_v1,8/p7/2pbk3/1p4pp/1P2P3/2PN1K1P/1P6/8 w - - 0 1,f3e3,f3f2,-1,0,0,ok
5,search_only,8/p7/2pbk3/1p4pp/1P2P3/2PN1K1P/1P6/8 w - - 0 1,f3e3,f3f2,-1,0,0,ok
5,blend_15,8/p7/2pbk3/1p4pp/1P2P3/2PN1K1P/1P6/8 w - - 0 1,f3e3,f3f2,-1,0,0,ok
5,blend_25,8/p7/2pbk3/1p4pp/1P2P3/2PN1K1P/1P6/8 w - - 0 1,f3e3,f3f2,-1,0,0,ok
5,blend_35,8/p7/2pbk3/1p4pp/1P2P3/2PN1K1P/1P6/8 w - - 0 1,f3e3,f3f2,-1,0,0,ok
6,submitted_v1,8/1b4k1/p2p4/Pp1P2p1/1Pr5/1R3BKP/3R4/4r3 w - - 0 1,d2d1,f3g4,-28,-102,74,inaccuracy
6,search_only,8/1b4k1/p2p4/Pp1P2p1/1Pr5/1R3BKP/3R4/4r3 w - - 0 1,g3f2,f3g4,-28,-55,27,ok
6,blend_15,8/1b4k1/p2p4/Pp1P2p1/1Pr5/1R3BKP/3R4/4r3 w - - 0 1,g3f2,f3g4,-28,-55,27,ok
6,blend_25,8/1b4k1/p2p4/Pp1P2p1/1Pr5/1R3BKP/3R4/4r3 w - - 0 1,g3f2,f3g4,-28,-55,27,ok
6,blend_35,8/1b4k1/p2p4/Pp1P2p1/1Pr5/1R3BKP/3R4/4r3 w - - 0 1,g3f2,f3g4,-28,-55,27,ok
7,submitted_v1,1r4r1/3k4/p3pBp1/2ppP1P1/7Q/4Pp2/PP1Kb3/8 w - - 0 1,h4h7,h4h7,-52,-58,6,ok
7,search_only,1r4r1/3k4/p3pBp1/2ppP1P1/7Q/4Pp2/PP1Kb3/8 w - - 0 1,h4h7,h4h7,-52,-58,6,ok
7,blend_15,1r4r1/3k4/p3pBp1/2ppP1P1/7Q/4Pp2/PP1Kb3/8 w - - 0 1,h4h7,h4h7,-52,-58,6,ok
7,blend_25,1r4r1/3k4/p3pBp1/2ppP1P1/7Q/4Pp2/PP1Kb3/8 w - - 0 1,b2b3,h4h7,-52,-83,31,inaccuracy
7,blend_35,1r4r1/3k4/p3pBp1/2ppP1P1/7Q/4Pp2/PP1Kb3/8 w - - 0 1,b2b3,h4h7,-52,-83,31,inaccuracy
8,submitted_v1,5b1k/2p5/3p1pqP/3P2pN/p3p1P1/P7/1PBnQ2K/8 b - - 0 1,f6f5,d2f3,-53,-341,288,major_mistake
8,search_only,5b1k/2p5/3p1pqP/3P2pN/p3p1P1/P7/1PBnQ2K/8 b - - 0 1,g6h6,d2f3,-53,-366,313,blunder
8,blend_15,5b1k/2p5/3p1pqP/3P2pN/p3p1P1/P7/1PBnQ2K/8 b - - 0 1,f6f5,d2f3,-53,-341,288,major_mistake
8,blend_25,5b1k/2p5/3p1pqP/3P2pN/p3p1P1/P7/1PBnQ2K/8 b - - 0 1,d2b3,d2f3,-53,-50,0,ok
8,blend_35,5b1k/2p5/3p1pqP/3P2pN/p3p1P1/P7/1PBnQ2K/8 b - - 0 1,d2b3,d2f3,-53,-50,0,ok
9,submitted_v1,2N5/p3k3/4P2p/4r3/8/8/n5P1/5RK1 b - - 0 1,e7e6,e7e6,4,4,0,ok
9,search_only,2N5/p3k3/4P2p/4r3/8/8/n5P1/5RK1 b - - 0 1,e7e6,e7e6,4,4,0,ok
9,blend_15,2N5/p3k3/4P2p/4r3/8/8/n5P1/5RK1 b - - 0 1,e7e6,e7e6,4,4,0,ok
9,blend_25,2N5/p3k3/4P2p/4r3/8/8/n5P1/5RK1 b - - 0 1,e7e6,e7e6,4,4,0,ok
