case_id,fen,category,primary_depth,baseline_move,sf_best_move,baseline_cp_loss,baseline_expectation_loss,attribution,confidence,single_rescues,pair_rescues,no_selectivity_rescue,deeper_baseline_rescue,nn_prefers_bad_by_100cp,qsearch_prefers_bad_by_100cp,nn_static_bad_minus_best,qsearch_bad_minus_best,no_selectivity_dExp,no_selectivity_dCP
validation_0162,8/5p2/p5p1/3K1p1p/5P1P/Pk4P1/1P6/8 w - -,late_11_16+quiet,5,d5d6,d5c5,965.0,1.0,unresolved_mixed_or_depth,low,,,False,False,False,False,87,84,0.0,0.0
validation_0210,6k1/pp3pp1/4pn1p/q7/2P5/1P2PBP1/P2r1P1P/1Q3K1R b - -,middle_17_23+capture_available,5,d2f2,a5c3,622.0,0.9985,unresolved_mixed_or_depth,low,,,False,False,False,False,62,-279,0.0,0.0
validation_0286,2r1nrk1/1p3ppp/p3p3/2bNq3/8/4B3/PP2QPPP/2RR2K1 w - -,middle_17_23+capture_available,5,c1c5,d5b6,600.0,1.0,depth_horizon,medium,,,False,True,False,True,32,149,0.0,0.0
validation_0370,r3r1k1/1ppq1pp1/2n1bn1p/2b1p3/4P2N/pPP3NP/P1B1QPP1/R1B2RK1 b - -,high_material_24_32+capture_rich,5,c5b4,e6h3,481.0,0.8385,unresolved_mixed_or_depth,low,,,False,False,False,False,28,48,0.0,12.0
validation_0249,2r1r3/p1q1kp2/1p3N2/n6R/6Q1/P7/5PPP/5RK1 b - -,middle_17_23+capture_available,5,e7f6,c7d8,99184.0,0.0,evaluator_static_suspect,medium,,,False,False,True,True,204,279,0.0,0.0
validation_0073,8/8/B6b/2k3pP/4K1P1/5p2/8/8 w - -,endgame_2_10+capture_available,5,e4f3,e4f5,531.0,0.5,unresolved_mixed_or_depth,low,,,False,False,False,False,76,76,0.0,0.0
validation_0314,3rr3/pp4k1/2p1pnp1/4b1q1/4PN1p/P2BQ1PP/1PP5/1K1R2R1 b - -,high_material_24_32+capture_rich,5,g7h8,g7h7,228.0,0.587,depth_horizon,medium,,,False,True,False,False,0,0,-0.038000000000000034,-61.0
validation_0384,r1bq1rk1/3nbpp1/2p1pn1p/1p2B1N1/p2P2N1/6PB/P1Q1PP1P/R2R2K1 w - -,high_material_24_32+capture_rich,5,g5f7,g4h6,307.0,0.5515,unresolved_mixed_or_depth,low,,,False,False,False,False,-124,-37,0.0,0.0
pgn_v1_1_vs_v1_g11_p9,8/1b4k1/p2p4/Pp1P2p1/1P1rB3/1R4KP/8/8 w - - 5 5,late_11_16+quiet,5,e4b1,e4g2,279.0,0.498,unresolved_mixed_or_depth,low,,,False,False,False,False,-10,-40,0.0,-99.0
validation_0247,r3r1k1/6bp/pq2b1p1/RN1Qp1B1/1PP5/8/5PPP/5BK1 w - -,middle_17_23+capture_rich,5,d5f3,d5d6,177.0,0.493,single:no_lmr,high,no_lmr;no_pvs,no_null_no_lmr;no_lmr_no_futility,True,False,False,False,-22,-30,0.493,177.0
pgn_nn_vs_stockfish_2000_g7_p39,rn5r/ppk2p2/1q1p1bpp/2pP4/5P2/2N4B/PPPQ3P/2K1RR2 w - - 5 20,high_material_24_32+quiet,5,f4f5,e1e4,243.0,0.5015000000000001,single:no_lmr,high,no_lmr,no_null_no_lmr;no_lmr_no_futility,True,True,False,False,-1,45,0.5015000000000001,243.0
pgn_nn_vs_material_g12_p24,2kr1b1r/ppp2ppp/2n5/3p1b2/4p2q/6P1/PPPPPK1P/RNBQ1BNR b - - 0 12,high_material_24_32+capture_available,5,h4h5,h4f6,250.0,0.393,depth_horizon,medium,,,False,True,True,True,187,249,0.0,0.0
validation_0176,r5k1/5ppp/2N1p3/p7/P7/1Pn2P2/6PP/R3K3 b - -,late_11_16+capture_available,5,a8a6,c3d5,237.0,0.4145,unresolved_mixed_or_depth,low,,,False,False,False,False,14,14,0.0,0.0
validation_0311,r2qr1k1/1ppb1pb1/3p1npp/p1n5/2PNPP2/2N3PP/PP4BK/1RBQR3 b - -,high_material_24_32+capture_rich,5,f6e4,a5a4,118.0,0.4025,unresolved_mixed_or_depth,low,,,False,False,False,False,89,89,0.0,0.0
validation_0106,8/8/5rk1/PQ2p3/3q2p1/2p3P1/5P1P/5RK1 w - -,late_11_16+capture_available,5,b5e8,b5e2,83.0,0.13649999999999995,depth_horizon,medium,,,False,True,False,False,42,42,0.0,0.0
validation_0392,2kr1b1r/1pp1qppp/p1p2n2/8/4P1b1/2NP1N2/PPP2PPP/R1BQ1RK1 b - -,high_material_24_32+capture_rich,5,h7h5,h7h6,111.0,0.40249999999999997,unresolved_mixed_or_depth,low,,,False,False,False,False,31,31,0.0,0.0
pgn_nn_vs_stockfish_2000_g9_p45,r1k4r/2pn2bp/b1p3q1/N4pB1/PP2p3/2P2N1Q/5PPP/R3R1K1 w - - 0 23,high_material_24_32+capture_rich,5,a1d1,g5f4,85.0,0.32200000000000006,unresolved_mixed_or_depth,low,,,False,False,False,False,31,1,-0.37449999999999994,-151.0
pgn_v1_1_vs_v1_g12_p5,8/1b4k1/p2p4/Pp1P2p1/1P1r4/1R4KP/8/3B4 w - - 1 3,late_11_16+quiet,5,d1c2,d1f3,318.0,0.3925,interaction:no_null_no_lmr,medium,,no_null_no_lmr,True,False,False,False,-24,-47,0.0,122.0
