case_id,fen,source,source_kind,category,game_index,ply,played_move,baseline_move,completed_depth,agent_nodes,agent_elapsed_s,sf_best_move,sf_best_score,sf_candidate_score,sf_best_expectation,sf_candidate_expectation,cp_delta_raw,cp_loss,expectation_delta_raw,expectation_loss,mate_blunder,sign_flip,winning_to_notwinning,pathology_priority
pgn_v1_1_vs_v1_g2_p146,8/8/8/4K3/6b1/q4k2/8/8 w - - 8 74,/home/rohanhs568/code/aichessathon-starter/v1_1_vs_v1.pgn,pgn,endgame_2_10+quiet,2,146,e5d5,e5d5,5,6424,0.17989229399245232,e5d5,-678,-678,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0
validation_0151,6k1/1b1q2p1/1p5p/1P1n4/2Q5/5P1P/6P1/4R1K1 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,late_11_16+capture_available,,,,e1e3,5,42391,1.8768277609779034,g1h2,0,0,0.5,0.5,0.0,0.0,0.0,0.0,False,False,False,0.0
pgn_v1_1_vs_v1_g2_p83,8/5p2/4b3/4k3/6r1/8/6PK/R7 b - - 13 42,/home/rohanhs568/code/aichessathon-starter/v1_1_vs_v1.pgn,pgn,endgame_2_10+capture_available,2,83,g4h4,e6d5,5,27703,0.933861141995294,g4h4,+357,+400,1.0,1.0,-43.0,0.0,0.0,0.0,False,False,False,0.0
pgn_v1_1_vs_v1_g15_p59,8/2p5/2Kp4/3P2p1/5kP1/p7/B7/2b5 b - - 13 30,/home/rohanhs568/code/aichessathon-starter/v1_1_vs_v1.pgn,pgn,endgame_2_10+capture_available,15,59,f4g4,f4g4,5,1922,0.06814367297920398,f4g4,+605,+605,1.0,1.0,0.0,0.0,0.0,0.0,False,False,False,0.0
validation_0360,3r1rk1/2q2p1p/p1bp1bp1/1p2pP2/4PBP1/P1NB3Q/1PP4P/4RR1K b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,high_material_24_32+capture_available,,,,e5f4,5,22988,1.4647399369860068,e5f4,+63,+63,0.577,0.577,0.0,0.0,0.0,0.0,False,False,False,0.0
pgn_v1_1_vs_v1_g8_p98,8/8/6p1/R7/8/8/pK6/4rk2 b - - 5 49,/home/rohanhs568/code/aichessathon-starter/v1_1_vs_v1.pgn,pgn,endgame_2_10+quiet,8,98,a2a1q,g6g5,5,4860,0.16805321499123238,a2a1q,+689,0,1.0,0.5,689.0,689.0,0.5,0.5,False,False,True,7.378
pgn_v1_1_vs_v1_g13_p69,4K3/k7/6p1/1r2B1P1/8/8/p7/8 w - - 1 35,/home/rohanhs568/code/aichessathon-starter/v1_1_vs_v1.pgn,pgn,endgame_2_10+quiet,13,69,e5c3,e5a1,5,11361,0.420261233986821,e5f6,-491,-624,0.0,0.0,133.0,133.0,0.0,0.0,False,False,False,0.266
validation_0347,r4rk1/p1p3pp/b1p5/2b2p2/3qP3/3PN3/PPP3PP/R1BQ1RK1 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,high_material_24_32+capture_rich,,,,f5e4,5,12042,0.6336485340143554,f5f4,+356,+238,1.0,0.9995,118.0,118.0,0.0004999999999999449,0.0004999999999999449,False,False,False,0.24099999999999944
validation_0147,8/p3n3/1p3k2/1P3pp1/8/3PP3/3K3P/2N5 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,late_11_16+quiet,,,,c1e2,5,2803,0.11640925399842672,c1e2,-3,-3,0.4995,0.4995,0.0,0.0,0.0,0.0,False,False,False,0.0
validation_0254,4r3/5pkR/3Nr1p1/p1p1P1P1/P1Pp1K2/1P6/2P5/7R b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,middle_17_23+in_check,,,,g7f8,5,1499,0.09046517798560672,g7f8,-778,-778,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0.0
validation_0119,8/1p3pp1/2kNp2p/r3P3/5PP1/2K5/7P/8 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,late_11_16+capture_available,,,,a5a4,5,12725,0.5063963660213631,a5a3,+482,+510,1.0,1.0,-28.0,0.0,0.0,0.0,False,False,False,0.0
suite_0010,r2q1rk1/1pp2pbp/3p1np1/p2Pp3/P1BnP3/2N4P/1PP2PP1/R1BQ1RK1 w - - 0 1,training/data/test_fens_60.txt,fen_suite,high_material_24_32+capture_available,,,,c1g5,5,16820,0.9673913070000708,c1g5,+92,+92,0.71,0.71,0.0,0.0,0.0,0.0,False,False,False,0.0
validation_0300,4r3/2RNn1kp/p4p2/1b1p2p1/3P4/5N2/PP3PPP/6K1 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,middle_17_23+capture_available,,,,d7c5,5,14200,0.7283278140239418,d7b6,+115,+77,0.8505,0.606,38.0,38.0,0.24450000000000005,0.24450000000000005,False,False,False,2.5210000000000004
validation_0126,3r2k1/p4p2/8/3p1Pp1/6QP/qpP3P1/4R3/1K6 b - -,training/data/samples/lichess_validation_250k.csv,validation_sample,late_11_16+quiet,,,,a3a6,5,8658,0.45791962498333305,a3a6,0,0,0.5,0.5,0.0,0.0,0.0,0.0,False,False,False,0.0
pgn_v1_1_vs_v1_g22_p48,8/8/5K2/3k4/R7/8/8/8 b - - 2 24,/home/rohanhs568/code/aichessathon-starter/v1_1_vs_v1.pgn,pgn,endgame_2_10+quiet,22,48,d5c5,d5c5,5,4152,0.11296208598650992,d5d6,-490,-502,0.0,0.0,12.0,12.0,0.0,0.0,False,False,False,0.024
suite_0006,rnbqk2r/pp2bppp/3p1n2/2p1p3/4P3/P1P2N2/1P1PBPPP/RNBQ1RK1 b kq - 0 1,training/data/test_fens_60.txt,fen_suite,high_material_24_32+capture_available,,,,e8g8,5,18715,1.059907928982284,e8g8,+3,+3,0.503,0.503,0.0,0.0,0.0,0.0,False,False,False,0.0
pgn_nn_vs_material_g10_p40,2krr3/ppp2ppp/8/8/3n3P/2K4b/PPP1P2P/RNB4R b - - 1 20,/home/rohanhs568/code/aichessathon-starter/nn_vs_material.pgn,pgn,middle_17_23+capture_available,10,40,d4e2,d4e2,5,24890,1.4259614190086722,d4e2,+595,+595,1.0,1.0,0.0,0.0,0.0,0.0,False,False,False,0.0
suite_0037,5k2/p4p1p/1b4p1/1P6/PN6/6PP/5r2/3RK3 b - - 0 1,training/data/test_fens_60.txt,fen_suite,late_11_16+quiet,,,,f2h2,5,11472,0.548639501008438,f2b2,+5,+1,0.501,0.5,4.0,4.0,0.0010000000000000009,0.0010000000000000009,False,False,False,0.01800000000000001
validation_0299,2b1k2r/pr4p1/2p5/q5Np/1b1Qpp1P/8/P1P2PP1/1R1R2K1 b k -,training/data/samples/lichess_validation_250k.csv,validation_sample,middle_17_23+capture_available,,,,e8g8,5,21792,1.370303594012512,e8g8,+24,+24,0.508,0.508,0.0,0.0,0.0,0.0,False,False,False,0.0
pgn_nn_vs_material_g19_p15,rnbqkb1r/pppppppp/7n/3P4/4P3/2N2N1P/PPP1QPP1/R1B1KB1R w KQq - 1 8,/home/rohanhs568/code/aichessathon-starter/nn_vs_material.pgn,pgn,high_material_24_32+capture_available,19,15,c3b5,e4e5,5,29782,2.004874881997239,c1f4,+362,+320,1.0,1.0,42.0,42.0,0.0,0.0,False,False,False,0.084
validation_0121,8/R5pk/5n1p/4N3/8/2p4P/P4PPK/2r5 w - -,training/data/samples/lichess_validation_250k.csv,validation_sample,late_11_16+capture_available,,,,a7c7,5,13330,0.651131605001865,a7c7,+6,+6,0.501,0.501,0.0,0.0,0.0,0.0,False,False,False,0.0
suite_0056,8/8/4p1N1/p3P2P/4k1K1/4b3/P7/8 w - - 0 1,training/data/test_fens_60.txt,fen_suite,endgame_2_10+quiet,,,,g6f8,5,2500,0.10212766198674217,g6e7,+23,+4,0.5045,0.501,19.0,19.0,0.0034999999999999476,0.0034999999999999476,False,False,False,0.07299999999999948
pgn_nn_vs_stockfish_2000_g2_p55,r6k/pp6/4pp1p/1bN1b3/1P6/P3B1P1/B4KP1/2RR4 w - - 8 28,/home/rohanhs568/code/aichessathon-starter/nn_vs_stockfish_2000.pgn,pgn,middle_17_23+capture_rich,2,55,a2e6,d1h1,5,28400,1.2432500129798427,a3a4,+767,+723,1.0,1.0,44.0,44.0,0.0,0.0,False,False,False,0.088
